普通本科分专业学生数,,,,,,,,,,,,,,,,,,,
高基312                                                                                                                                                                           单位：人 ,,,,,,,,,,,,,,,,,,,
学科,专业分类,专业名称,"自主
专业名称",专业代码,"是否
师范
专业",年制,"毕业
生数","授予
学位数",招生数,,,,在校生数,,,,,,"预计
毕业生数"
,,,,,,,,,计,其中：,,,合计,一年级,二年级,三年级,四年级,"五年级
及以上",
,,,,,,,,,,"应届
毕业生","春季
招生","预科生
转入",,,,,,,
,,甲,乙,丙,,丁,1,2,3,4,5,6,7,8,9,10,11,12,13
合计,合计,普通本科生,普通本科生,42100,-1,0,320,315,416,380,0,0,1541,417,405,373,346,0,346
合计,合计,其中：女,其中：女,421002,0,0,235,233,287,264,0,0,1066,287,277,262,240,0,241
合计,合计,高中起点本科,高中起点本科,42101,-1,0,320,315,416,380,0,0,1541,417,405,373,346,0,346
学科门类：经济学,财政学类,财政学,财政学,020201,0,4,49,49,86,81,0,0,296,87,95,64,50,0,50
学科门类：法学,社会学类,社会工作,社会工作,030302,0,4,27,27,49,44,0,0,153,49,39,31,34,0,34
学科门类：经济学,财政学类,税收学,税收学,020202,0,4,93,92,95,84,0,0,425,95,112,113,105,0,105
学科门类：法学,政治学类,政治学与行政学,政治学与行政学,030201,0,4,38,35,45,39,0,0,154,45,37,36,36,0,36
学科门类：管理学,公共管理类,公共事业管理,公共事业管理,120401,0,4,37,37,46,43,0,0,155,46,38,36,35,0,35
学科门类：管理学,公共管理类,劳动与社会保障,劳动与社会保障,120403,0,4,37,37,47,44,0,0,173,47,40,46,40,0,40
学科门类：管理学,公共管理类,行政管理,行政管理,120402,0,4,39,38,48,45,0,0,185,48,44,47,46,0,46
